data,current_assets,usd,ntd,percentual
"March 31, 2025 (Unaudited)",Cash and Cash Equivalents,"72,122","2,394,804",33.6
"March 31, 2025 (Unaudited)",Investments in Marketable Financial Instruments,"9,284","308,281",4.3
"March 31, 2025 (Unaudited)",Accounts Receivable,"7,347","243,949",3.4
"March 31, 2025 (Unaudited)",Inventories,"8,836","293,388",4.1
"March 31, 2025 (Unaudited)",Other Current Assets,"3,169","105,242",1.5
"March 31, 2025 (Unaudited)",Total Current Assets,"100,758","3,345,664",46.9
"December 31, 2024 (Audited)",Cash and Cash Equivalents,,"2,127,627",31.8
"December 31, 2024 (Audited)",Investments in Marketable Financial Instruments,,"294,392",4.4
"December 31, 2024 (Audited)",Accounts Receivable,,"272,088",4.1
"December 31, 2024 (Audited)",Inventories,,"287,869",4.3
"December 31, 2024 (Audited)",Other Current Assets,,"106,376",1.6
"December 31, 2024 (Audited)",Total Current Assets,,"3,088,352",46.2
"March 31, 2024 (Unaudited)",Cash and Cash Equivalents,,"1,698,196",29.3
"March 31, 2024 (Unaudited)",Investments in Marketable Financial Instruments,,"224,460",3.9
"March 31, 2024 (Unaudited)",Accounts Receivable,,"201,980",3.5
"March 31, 2024 (Unaudited)",Inventories,,"267,123",4.6
"March 31, 2024 (Unaudited)",Other Current Assets,,"61,008",1.1
"March 31, 2024 (Unaudited)",Total Current Assets,,"2,452,767",42.4
